Date,Open,High,Low,Close,Volume,AdjustedClose
2022-01-03,4120.0,4190.0,4090.0,4180.0,90842500,3284.902099609375
2022-01-04,4200.0,4210.0,4160.0,4160.0,93950000,3269.18505859375
2022-01-05,4180.0,4230.0,4130.0,4210.0,174376400,3308.478271484375
2022-01-06,4240.0,4240.0,4140.0,4160.0,137280000,3269.18505859375
2022-01-07,4170.0,4200.0,4150.0,4190.0,101275000,3292.7607421875
2022-01-10,4190.0,4210.0,4180.0,4180.0,70722600,3284.902099609375
2022-01-11,4180.0,4180.0,4130.0,4150.0,99404900,3261.32666015625
2022-01-12,4170.0,4180.0,4130.0,4160.0,65907000,3269.18505859375
2022-01-13,4180.0,4190.0,4170.0,4190.0,103522400,3292.7607421875
2022-01-14,4190.0,4210.0,4160.0,4180.0,110213800,3284.902099609375
2022-01-17,4200.0,4210.0,4180.0,4210.0,102957100,3308.478271484375
2022-01-18,4240.0,4240.0,4140.0,4190.0,120275000,3292.7607421875
2022-01-19,4210.0,4210.0,4130.0,4130.0,109954700,3245.609375
2022-01-20,4130.0,4160.0,4110.0,4130.0,86394600,3245.609375
2022-01-21,4130.0,4170.0,4110.0,4170.0,84972500,3277.04345703125
2022-01-24,4140.0,4160.0,4100.0,4120.0,76709900,3237.750244140625
2022-01-25,4100.0,4110.0,4000.0,4070.0,185007800,3198.45751953125
2022-01-26,4030.0,4100.0,4030.0,4090.0,97589500,3214.174560546875
2022-01-27,4070.0,4140.0,4060.0,4140.0,80682900,3253.4677734375
2022-01-28,4170.0,4170.0,4090.0,4140.0,84812100,3253.4677734375
2022-01-31,4170.0,4170.0,4070.0,4070.0,78498500,3198.45751953125
2022-02-02,4120.0,4120.0,4060.0,4070.0,81546300,3198.45751953125
2022-02-03,4180.0,4180.0,4130.0,4130.0,157898800,3245.609375
2022-02-04,4170.0,4210.0,4150.0,4210.0,236602900,3308.478271484375
2022-02-07,4240.0,4410.0,4220.0,4400.0,468016600,3457.792236328125
2022-02-08,4450.0,4550.0,4400.0,4440.0,310878100,3489.22607421875
2022-02-09,4400.0,4500.0,4380.0,4450.0,149000100,3497.084716796875
2022-02-10,4500.0,4500.0,4450.0,4470.0,112521600,3512.802001953125
2022-02-11,4420.0,4450.0,4380.0,4450.0,103418200,3497.084716796875
2022-02-14,4450.0,4450.0,4380.0,4410.0,105260000,3465.650634765625
2022-02-15,4440.0,4450.0,4390.0,4430.0,96658500,3481.367431640625
2022-02-16,4470.0,4470.0,4410.0,4420.0,89636300,3473.509033203125
2022-02-17,4390.0,4410.0,4340.0,4400.0,118305100,3457.792236328125
2022-02-18,4400.0,4440.0,4370.0,4430.0,127058000,3481.367431640625
2022-02-21,4460.0,4490.0,4440.0,4490.0,133717300,3528.519287109375
2022-02-22,4440.0,4470.0,4420.0,4430.0,109060900,3481.367431640625
2022-02-23,4520.0,4520.0,4460.0,4480.0,160827800,3520.660888671875
2022-02-24,4470.0,4470.0,4370.0,4390.0,217523600,3449.93359375
2022-02-25,4450.0,4550.0,4410.0,4550.0,301346400,3575.671142578125
2022-03-01,4850.0,4860.0,4630.0,4630.0,494657800,3638.5400390625
2022-03-02,4680.0,4690.0,4550.0,4560.0,186635200,3583.5302734375
2022-03-04,4720.0,4730.0,4610.0,4670.0,292022600,3669.974609375
2022-03-07,4580.0,4630.0,4520.0,4520.0,224515800,3552.09521484375
2022-03-08,4500.0,4560.0,4430.0,4430.0,214870200,3481.367431640625
2022-03-09,4530.0,4590.0,4500.0,4570.0,191967100,3591.38818359375
2022-03-10,4640.0,4640.0,4510.0,4570.0,225575800,3591.38818359375
2022-03-11,4400.0,4440.0,4370.0,4400.0,275965300,3594.8623046875
2022-03-14,4440.0,4540.0,4410.0,4520.0,212052100,3692.903564453125
2022-03-15,4550.0,4640.0,4530.0,4610.0,357755700,3766.43505859375
2022-03-16,4650.0,4660.0,4610.0,4650.0,226817000,3799.115478515625
2022-03-17,4690.0,4700.0,4610.0,4650.0,224068000,3799.115478515625
2022-03-18,4700.0,4700.0,4580.0,4580.0,257863400,3741.925048828125
2022-03-21,4600.0,4630.0,4560.0,4590.0,118791900,3750.09423828125
2022-03-22,4690.0,4710.0,4640.0,4640.0,177758500,3790.945068359375
2022-03-23,4680.0,4690.0,4620.0,4650.0,146545100,3799.115478515625
2022-03-24,4640.0,4730.0,4620.0,4730.0,206271600,3864.476806640625
2022-03-25,4760.0,4760.0,4650.0,4710.0,137104800,3848.1357421875
2022-03-28,4730.0,4740.0,4670.0,4730.0,106801800,3864.476806640625
2022-03-29,4750.0,4750.0,4670.0,4690.0,93155100,3831.796142578125
2022-03-30,4740.0,4740.0,4690.0,4710.0,83364400,3848.1357421875
2022-03-31,4700.0,4750.0,4660.0,4660.0,158650000,3807.28515625
2022-04-01,4690.0,4730.0,4630.0,4730.0,145105000,3864.476806640625
2022-04-04,4730.0,4730.0,4660.0,4700.0,103902000,3839.96630859375
2022-04-05,4730.0,4740.0,4670.0,4700.0,76154300,3839.96630859375
2022-04-06,4690.0,4690.0,4600.0,4600.0,111009800,3758.2646484375
2022-04-07,4670.0,4670.0,4620.0,4630.0,91942500,3782.775634765625
2022-04-08,4630.0,4650.0,4600.0,4610.0,125657900,3766.43505859375
2022-04-11,4600.0,4620.0,4570.0,4570.0,109861100,3733.754150390625
2022-04-12,4550.0,4610.0,4550.0,4610.0,96961200,3766.43505859375
2022-04-13,4640.0,4640.0,4590.0,4610.0,112327600,3766.43505859375
2022-04-14,4600.0,4610.0,4530.0,4540.0,150659600,3709.244140625
2022-04-18,4550.0,4580.0,4540.0,4550.0,82795100,3717.4140625
2022-04-19,4550.0,4600.0,4540.0,4570.0,148475600,3733.754150390625
2022-04-20,4610.0,4870.0,4600.0,4850.0,404383100,3962.5185546875
2022-04-21,4850.0,4850.0,4760.0,4800.0,208253300,3921.66748046875
2022-04-22,4750.0,4850.0,4720.0,4750.0,174349500,3880.8173828125
2022-04-25,4700.0,4850.0,4670.0,4840.0,235752400,3954.348388671875
2022-04-26,4840.0,4980.0,4830.0,4940.0,262734300,4036.049560546875
2022-04-27,4900.0,4930.0,4850.0,4850.0,191955100,3962.5185546875
2022-04-28,4870.0,4930.0,4860.0,4870.0,193821200,3978.8583984375
2022-05-09,4750.0,4760.0,4530.0,4530.0,561600400,3701.073974609375
2022-05-10,4260.0,4530.0,4260.0,4530.0,435782800,3701.073974609375
2022-05-11,4550.0,4580.0,4480.0,4490.0,205233800,3668.392822265625
2022-05-12,4490.0,4490.0,4300.0,4320.0,207373600,3529.500732421875
2022-05-13,4250.0,4360.0,4250.0,4250.0,336711300,3472.309814453125
2022-05-17,4270.0,4520.0,4270.0,4450.0,272650400,3635.712646484375
2022-05-18,4500.0,4530.0,4430.0,4450.0,129716500,3635.712646484375
2022-05-19,4350.0,4460.0,4300.0,4440.0,132614900,3627.542236328125
2022-05-20,4440.0,4490.0,4410.0,4430.0,122101000,3619.37255859375
2022-05-23,4410.0,4440.0,4320.0,4330.0,175709000,3537.6708984375
2022-05-24,4320.0,4500.0,4320.0,4460.0,165758600,3643.8828125
2022-05-25,4430.0,4450.0,4350.0,4350.0,138961700,3554.01123046875
2022-05-27,4500.0,4540.0,4440.0,4540.0,209962100,3709.244140625
2022-05-30,4540.0,4540.0,4390.0,4430.0,193724500,3619.37255859375
2022-05-31,4470.0,4630.0,4450.0,4630.0,379626500,3782.775634765625
2022-06-02,4540.0,4600.0,4480.0,4480.0,225697500,3660.223388671875
2022-06-03,4530.0,4570.0,4510.0,4520.0,117643300,3692.903564453125
2022-06-06,4470.0,4510.0,4400.0,4430.0,157277700,3619.37255859375
2022-06-07,4460.0,4460.0,4400.0,4400.0,133318000,3594.8623046875
2022-06-08,4400.0,4470.0,4380.0,4470.0,150604000,3652.052734375
2022-06-09,4500.0,4520.0,4480.0,4490.0,161768800,3668.392822265625
2022-06-10,4470.0,4470.0,4360.0,4400.0,222410400,3594.8623046875
2022-06-13,4260.0,4350.0,4260.0,4340.0,164017200,3545.841552734375
2022-06-14,4300.0,4410.0,4300.0,4360.0,150381800,3562.181640625
2022-06-15,4360.0,4450.0,4360.0,4450.0,160729900,3635.712646484375
2022-06-16,4420.0,4530.0,4410.0,4430.0,240023000,3619.37255859375
2022-06-17,4370.0,4400.0,4350.0,4370.0,185763100,3570.351806640625
2022-06-20,4400.0,4410.0,4340.0,4400.0,95058800,3594.8623046875
2022-06-21,4430.0,4430.0,4380.0,4380.0,103964600,3578.521728515625
2022-06-22,4410.0,4410.0,4310.0,4320.0,106208500,3529.500732421875
2022-06-23,4300.0,4360.0,4300.0,4310.0,127600700,3521.330810546875
2022-06-24,4320.0,4350.0,4310.0,4340.0,66083900,3545.841552734375
2022-06-27,4310.0,4330.0,4270.0,4280.0,152306100,3496.820068359375
2022-06-28,4320.0,4330.0,4280.0,4300.0,178535800,3513.16064453125
2022-06-29,4280.0,4310.0,4180.0,4180.0,228536100,3415.118896484375
2022-06-30,4120.0,4220.0,4120.0,4150.0,239939100,3390.608642578125
2022-07-01,4150.0,4200.0,4110.0,4140.0,154659500,3382.4384765625
2022-07-04,4090.0,4120.0,3960.0,4040.0,246853600,3300.73681640625
2022-07-05,4040.0,4160.0,4040.0,4090.0,180648400,3341.587646484375
2022-07-06,4050.0,4100.0,4020.0,4080.0,125309100,3333.417724609375
2022-07-07,4040.0,4110.0,4040.0,4050.0,172127500,3308.9072265625
2022-07-08,4090.0,4200.0,4050.0,4200.0,112914000,3431.458984375
2022-07-11,4150.0,4170.0,4100.0,4120.0,80867700,3366.097900390625
2022-07-12,4120.0,4140.0,4100.0,4110.0,56085200,3357.927978515625
2022-07-13,4110.0,4130.0,4030.0,4060.0,165745200,3317.077392578125
2022-07-14,4010.0,4090.0,4010.0,4070.0,188729700,3325.2470703125
2022-07-15,4060.0,4120.0,4050.0,4110.0,91362800,3357.927978515625
2022-07-18,4110.0,4140.0,4080.0,4140.0,135284500,3382.4384765625
2022-07-19,4150.0,4150.0,4110.0,4110.0,122905900,3357.927978515625
2022-07-20,4180.0,4300.0,4160.0,4300.0,220223600,3513.16064453125
2022-07-21,4300.0,4310.0,4230.0,4310.0,130405400,3521.330810546875
2022-07-22,4330.0,4330.0,4270.0,4270.0,86561100,3488.650390625
2022-07-25,4250.0,4300.0,4250.0,4250.0,60952800,3472.309814453125
2022-07-26,4270.0,4350.0,4260.0,4330.0,97709800,3537.6708984375
2022-07-27,4380.0,4380.0,4300.0,4320.0,88570800,3529.500732421875
2022-07-28,4340.0,4400.0,4340.0,4360.0,136421400,3562.181640625
2022-07-29,4390.0,4430.0,4340.0,4360.0,228669400,3562.181640625
2022-08-01,4390.0,4410.0,4330.0,4360.0,200791700,3562.181640625
2022-08-02,4360.0,4400.0,4300.0,4400.0,173931000,3594.8623046875
2022-08-03,4410.0,4420.0,4350.0,4380.0,103412300,3578.521728515625
2022-08-04,4380.0,4390.0,4350.0,4360.0,120175700,3562.181640625
2022-08-05,4360.0,4400.0,4320.0,4360.0,168879400,3562.181640625
2022-08-08,4360.0,4400.0,4340.0,4370.0,107242600,3570.351806640625
2022-08-09,4400.0,4470.0,4390.0,4410.0,181747100,3603.0322265625
2022-08-10,4350.0,4370.0,4300.0,4310.0,205341100,3521.330810546875
2022-08-11,4380.0,4410.0,4340.0,4350.0,193329000,3554.01123046875
2022-08-12,4340.0,4350.0,4320.0,4320.0,103916700,3529.500732421875
2022-08-15,4330.0,4350.0,4300.0,4300.0,135099400,3513.16064453125
2022-08-16,4350.0,4350.0,4270.0,4280.0,205432400,3496.820068359375
2022-08-18,4330.0,4340.0,4310.0,4330.0,138795300,3537.6708984375
2022-08-19,4340.0,4340.0,4300.0,4300.0,84552100,3513.16064453125
2022-08-22,4320.0,4330.0,4270.0,4270.0,121124400,3488.650390625
2022-08-23,4260.0,4310.0,4260.0,4300.0,107799500,3513.16064453125
2022-08-24,4300.0,4330.0,4280.0,4290.0,75055900,3504.990478515625
2022-08-25,4280.0,4300.0,4270.0,4270.0,117653800,3488.650390625
2022-08-26,4280.0,4290.0,4270.0,4270.0,87375200,3488.650390625
2022-08-29,4250.0,4270.0,4220.0,4250.0,88409800,3472.309814453125
2022-08-30,4250.0,4300.0,4250.0,4260.0,157219500,3480.47998046875
2022-08-31,4250.0,4350.0,4240.0,4340.0,191475700,3545.841552734375
2022-09-01,4320.0,4390.0,4310.0,4390.0,139929300,3586.692138671875
2022-09-02,4410.0,4450.0,4380.0,4450.0,220616600,3635.712646484375
2022-09-05,4430.0,4600.0,4420.0,4590.0,261126600,3750.09423828125
2022-09-06,4670.0,4690.0,4550.0,4560.0,188042700,3725.584716796875
2022-09-07,4510.0,4550.0,4460.0,4460.0,231936700,3643.8828125
2022-09-08,4480.0,4620.0,4480.0,4600.0,250373200,3758.2646484375
2022-09-09,4640.0,4640.0,4570.0,4610.0,119286700,3766.43505859375
2022-09-12,4610.0,4630.0,4560.0,4560.0,97988000,3725.584716796875
2022-09-13,4560.0,4640.0,4560.0,4580.0,141828800,3741.925048828125
2022-09-14,4520.0,4610.0,4510.0,4580.0,149960600,3741.925048828125
2022-09-15,4600.0,4700.0,4590.0,4610.0,295664100,3766.43505859375
2022-09-16,4610.0,4620.0,4500.0,4500.0,282492200,3676.563720703125
2022-09-19,4520.0,4600.0,4500.0,4570.0,134432000,3733.754150390625
2022-09-20,4570.0,4600.0,4490.0,4490.0,138695500,3668.392822265625
2022-09-21,4490.0,4550.0,4470.0,4550.0,159976900,3717.4140625
2022-09-22,4500.0,4580.0,4500.0,4560.0,100425300,3725.584716796875
2022-09-23,4540.0,4560.0,4480.0,4480.0,139074000,3660.223388671875
2022-09-26,4480.0,4540.0,4410.0,4540.0,280747500,3709.244140625
2022-09-27,4500.0,4550.0,4480.0,4530.0,213704600,3701.073974609375
2022-09-28,4510.0,4560.0,4480.0,4520.0,161815300,3692.903564453125
2022-09-29,4520.0,4540.0,4460.0,4480.0,169368600,3660.223388671875
2022-09-30,4450.0,4510.0,4410.0,4490.0,224229200,3668.392822265625
2022-10-03,4500.0,4550.0,4480.0,4530.0,159559600,3701.073974609375
2022-10-04,4560.0,4650.0,4560.0,4640.0,256367100,3790.945068359375
2022-10-05,4660.0,4660.0,4540.0,4540.0,182246200,3709.244140625
2022-10-06,4540.0,4570.0,4510.0,4510.0,123346200,3684.733642578125
2022-10-07,4480.0,4490.0,4430.0,4440.0,133678600,3627.542236328125
2022-10-10,4420.0,4430.0,4340.0,4370.0,193923600,3570.351806640625
2022-10-11,4390.0,4430.0,4370.0,4430.0,133742200,3619.37255859375
2022-10-12,4470.0,4470.0,4400.0,4400.0,128741800,3594.8623046875
2022-10-13,4390.0,4420.0,4350.0,4350.0,104269900,3554.01123046875
2022-10-14,4380.0,4390.0,4270.0,4270.0,180841100,3488.650390625
2022-10-17,4270.0,4320.0,4260.0,4300.0,145506000,3513.16064453125
2022-10-18,4280.0,4340.0,4280.0,4290.0,161444100,3504.990478515625
2022-10-19,4280.0,4340.0,4280.0,4300.0,81682300,3513.16064453125
2022-10-20,4280.0,4400.0,4280.0,4390.0,149521700,3586.692138671875
2022-10-21,4360.0,4460.0,4360.0,4430.0,165052200,3619.37255859375
2022-10-24,4430.0,4540.0,4430.0,4500.0,186997700,3676.563720703125
2022-10-25,4560.0,4610.0,4550.0,4590.0,233948800,3750.09423828125
2022-10-26,4600.0,4610.0,4500.0,4530.0,178298500,3701.073974609375
2022-10-27,4550.0,4600.0,4530.0,4600.0,131385300,3758.2646484375
2022-10-28,4600.0,4630.0,4560.0,4630.0,227256400,3782.775634765625
2022-10-31,4630.0,4680.0,4630.0,4650.0,275184000,3799.115478515625
2022-11-01,4690.0,4700.0,4630.0,4660.0,230590200,3807.28515625
2022-11-02,4680.0,4680.0,4570.0,4610.0,163816900,3766.43505859375
2022-11-03,4630.0,4660.0,4590.0,4650.0,174423000,3799.115478515625
2022-11-04,4650.0,4660.0,4610.0,4650.0,85292300,3799.115478515625
2022-11-07,4650.0,4690.0,4610.0,4690.0,112070500,3831.796142578125
2022-11-08,4690.0,4690.0,4610.0,4620.0,80916300,3774.6044921875
2022-11-09,4600.0,4650.0,4600.0,4650.0,126493900,3799.115478515625
2022-11-10,4560.0,4580.0,4520.0,4530.0,196277400,3701.073974609375
2022-11-11,4620.0,4650.0,4590.0,4650.0,153238500,3799.115478515625
2022-11-14,4620.0,4640.0,4550.0,4580.0,140187600,3741.925048828125
2022-11-15,4580.0,4610.0,4560.0,4580.0,87986300,3741.925048828125
2022-11-16,4590.0,4610.0,4490.0,4520.0,245789200,3692.903564453125
2022-11-17,4520.0,4670.0,4500.0,4670.0,214514600,3815.455810546875
2022-11-18,4670.0,4680.0,4610.0,4610.0,105313200,3766.43505859375
2022-11-21,4620.0,4630.0,4560.0,4590.0,82279300,3750.09423828125
2022-11-22,4570.0,4670.0,4570.0,4590.0,154866000,3750.09423828125
2022-11-23,4640.0,4670.0,4630.0,4670.0,147280600,3815.455810546875
2022-11-24,4700.0,4740.0,4670.0,4720.0,156735700,3856.306396484375
2022-11-25,4700.0,4750.0,4690.0,4750.0,177861100,3880.8173828125
2022-11-28,4730.0,4830.0,4730.0,4820.0,214611600,3938.008056640625
2022-11-29,4820.0,4860.0,4790.0,4850.0,184916300,3962.5185546875
2022-11-30,4810.0,4980.0,4800.0,4980.0,560639800,4068.73046875
2022-12-01,5000.0,5025.0,4900.0,4940.0,267382600,4036.049560546875
2022-12-02,4900.0,4930.0,4860.0,4890.0,199981400,3995.199462890625
2022-12-05,4910.0,4930.0,4860.0,4890.0,88463000,3995.199462890625
2022-12-06,4860.0,4890.0,4800.0,4860.0,151325300,3970.6884765625
2022-12-07,4840.0,4840.0,4740.0,4760.0,253330100,3888.98681640625
2022-12-08,4760.0,4840.0,4710.0,4840.0,154313900,3954.348388671875
2022-12-09,4830.0,4840.0,4760.0,4800.0,203573100,3921.66748046875
2022-12-12,4800.0,4850.0,4760.0,4850.0,139582400,3962.5185546875
2022-12-13,4870.0,4980.0,4840.0,4970.0,194233200,4060.56005859375
2022-12-14,5000.0,5000.0,4870.0,4980.0,201275800,4068.73046875
2022-12-15,4900.0,4940.0,4880.0,4910.0,170702300,4011.53955078125
2022-12-16,4820.0,4980.0,4820.0,4980.0,594601900,4068.73046875
2022-12-19,4970.0,4980.0,4920.0,4970.0,82959800,4060.56005859375
2022-12-20,4930.0,4970.0,4890.0,4910.0,78671600,4011.53955078125
2022-12-21,4910.0,4940.0,4870.0,4890.0,71277800,3995.199462890625
2022-12-22,4910.0,4970.0,4900.0,4960.0,87321400,4052.3896484375
2022-12-23,4920.0,4940.0,4880.0,4880.0,53350600,3987.028564453125
2022-12-26,4900.0,4930.0,4890.0,4930.0,43581100,4027.87939453125
2022-12-27,4930.0,4950.0,4860.0,4870.0,74123800,3978.8583984375
2022-12-28,4870.0,4880.0,4810.0,4820.0,117912500,3938.008056640625
2022-12-29,4820.0,4870.0,4800.0,4870.0,106690700,3978.8583984375
2022-12-30,4870.0,4950.0,4870.0,4940.0,182091500,4036.049560546875
2023-01-02,4910.0,4920.0,4820.0,4870.0,100200100,3978.8583984375
2023-01-03,4830.0,4900.0,4830.0,4850.0,95136500,3962.5185546875
2023-01-04,4850.0,4850.0,4770.0,4770.0,188071000,3897.1572265625
2023-01-05,4750.0,4760.0,4570.0,4640.0,292142000,3790.945068359375
2023-01-06,4550.0,4640.0,4550.0,4620.0,175932000,3774.6044921875
2023-01-09,4580.0,4640.0,4550.0,4590.0,166164900,3750.09423828125
2023-01-10,4550.0,4570.0,4410.0,4430.0,282510000,3664.88427734375
2023-01-11,4410.0,4430.0,4360.0,4380.0,211610100,3623.52001953125
2023-01-12,4480.0,4520.0,4410.0,4500.0,210887800,3722.79443359375
2023-01-13,4510.0,4530.0,4420.0,4480.0,134592100,3706.248779296875
2023-01-16,4430.0,4530.0,4420.0,4520.0,172170900,3739.340087890625
2023-01-17,4520.0,4580.0,4510.0,4560.0,150577400,3772.43212890625
2023-01-18,4560.0,4620.0,4560.0,4600.0,178026000,3805.52294921875
2023-01-19,4590.0,4630.0,4580.0,4610.0,117204100,3813.795654296875
2023-01-20,4630.0,4670.0,4620.0,4650.0,116038300,3846.8876953125
2023-01-24,4660.0,4680.0,4590.0,4620.0,81964700,3822.068359375
2023-01-25,4620.0,4620.0,4550.0,4560.0,84009300,3772.43212890625
2023-01-26,4560.0,4620.0,4550.0,4590.0,113840400,3797.25
2023-01-27,4600.0,4680.0,4600.0,4640.0,178282600,3838.6142578125
2023-01-30,4650.0,4680.0,4570.0,4610.0,185972400,3813.795654296875
